id,count,age,sex,origin,prior,family,origin_org,assumed_origin,y,type,age2,age3
559,1,-2.431362763296432,female,BXL,no prior,no family,BXL,False,0,$f_1$,5.911524886744461,-14.37306148393064
560,1,-0.063551418747881,male,BXL,no prior,no family,BXL,False,0,$f_1$,0.004038782824868521,-0.0002566703785349692
561,1,0.9114297231250517,male,BE,prior,no family,A,False,0,$f_1$,0.8307041401958083,0.7571284444974997
563,2,0.2846561319210235,male,BXL,no prior,no family,BXL,False,1,$f_2$,0.08102911344023914,0.023065434004888294
564,1,0.1453731116534617,male,ABROAD,no prior,no family,DL,False,0,$f_1$,0.02113334159180984,0.003072219626836918
565,1,0.3542976420548044,male,BE,no prior,no family,A,False,0,$f_1$,0.1255268191655943,0.04447385604500989
566,1,0.5632221724561471,female,BE,no prior,no family,BR,False,0,$f_1$,0.31721921554622196,0.17866489572477792
569,1,-0.7599665200856901,male,BE,no prior,family,BR,False,0,$f_1$,0.5775491116511536,-0.4389179885601089
570,1,0.8417882129912707,male,BE,no prior,family,OV,False,0,$f_1$,0.7086073955310369,0.5964973531964701
571,2,-1.52602313155728,male,BE,no prior,no family,BR,False,1,$f_2$,2.328746598047888,-3.5537211761564005
572,1,-1.3170986011559374,male,BE,no prior,no family,BR,False,0,$f_1$,1.734748725166927,-2.284835119274405
575,1,0.5632221724561471,female,BE,no prior,no family,BR,False,0,$f_1$,0.31721921554622196,0.17866489572477792
578,1,-0.27247594914922374,female,BXL,no prior,no family,BXL,False,0,$f_1$,0.07424314286477036,-0.020229470819899724
579,2,0.7721467028574899,female,BXL,no prior,family,BXL,False,1,$f_2$,0.5962105307336928,0.460361995514935
580,1,-0.6206834998181282,male,BXL,no prior,family,BXL,False,0,$f_1$,0.38524800694648037,-0.23911708124949999
581,2,-1.0385325606208136,male,BXL,no prior,family,BXL,False,1,$f_2$,1.0785498794696238,-1.1201091680828583
584,1,-0.4814004795505664,female,ABROAD,no prior,family,DL,False,0,$f_1$,0.23174642171151533,-0.11156283854605127
585,1,-0.6206834998181282,male,BXL,no prior,no family,BXL,False,0,$f_1$,0.38524800694648037,-0.23911708124949999
587,1,-0.4814004795505664,male,BE,no prior,no family,HE,False,0,$f_1$,0.23174642171151533,-0.11156283854605127
595,1,-0.8992495403532519,female,ABROAD,no prior,no family,FR,False,0,$f_1$,0.8086497358255348,-0.7271779032478908
597,1,0.1453731116534617,male,BE,no prior,no family,LU,False,0,$f_1$,0.02113334159180984,0.003072219626836918
601,2,-0.4117589694167855,male,BE,no prior,no family,BR,False,1,$f_2$,0.1695454488951733,-0.06981185930638284
603,1,-1.2474570910221563,female,BXL,no prior,no family,BXL,False,0,$f_1$,1.5561491939414602,-1.9412293466706874
604,1,0.6328636825899281,male,BE,no prior,no family,BR,False,0,$f_1$,0.40051644074128523,0.2534723096253405
605,1,-0.9688910504870327,female,ABROAD,no prior,no family,FR,False,0,$f_1$,0.9387498677138658,-0.9095463454738504
607,1,0.5632221724561471,male,BE,no prior,no family,BR,False,0,$f_1$,0.31721921554622196,0.17866489572477792
609,1,0.2846561319210235,male,BXL,no prior,no family,BXL,False,0,$f_1$,0.08102911344023914,0.023065434004888294
610,1,2.5828259663357933,male,BXL,no prior,no family,BXL,False,0,$f_1$,6.6709899723784245,17.23000612182469
611,1,-0.8296080302194709,female,ABROAD,no prior,no family,FR,False,0,$f_1$,0.6882494838046306,-0.5709772985587273
612,1,-0.27247594914922374,male,ABROAD,prior,no family,DL,False,0,$f_1$,0.07424314286477036,-0.020229470819899724
613,1,-0.6206834998181282,male,ABROAD,no prior,no family,DL,False,0,$f_1$,0.38524800694648037,-0.23911708124949999
615,1,1.1899957636601752,male,BXL,no prior,no family,BXL,False,0,$f_1$,1.4160899175291637,1.6851410028215916
616,1,-0.8992495403532519,female,BE,no prior,family,BR,False,0,$f_1$,0.8086497358255348,-0.7271779032478908
618,1,2.722108986603355,male,BE,no prior,no family,OV,False,0,$f_1$,7.409877334946744,20.170493683087052
620,1,0.6328636825899281,male,BE,no prior,no family,BR,False,0,$f_1$,0.40051644074128523,0.2534723096253405
621,2,1.0507127433926136,male,BXL,prior,no family,BXL,False,1,$f_2$,1.103997269127632,1.1599839993430479
623,1,-1.6653061518248418,male,BXL,no prior,family,BXL,False,0,$f_1$,2.773244579305663,-4.6183012584326155
624,1,-0.7599665200856901,male,BXL,no prior,family,BXL,False,0,$f_1$,0.5775491116511536,-0.4389179885601089
625,1,-0.20283443901544282,male,BE,no prior,family,OV,False,0,$f_1$,0.04114180965070939,-0.008344975880581772
628,1,-1.1778155808883755,male,BXL,no prior,family,BXL,False,0,$f_1$,1.3872495425834213,-1.6339241258350254
630,2,-0.9688910504870327,male,BXL,no prior,no family,BXL,False,1,$f_2$,0.9387498677138658,-0.9095463454738504
631,2,0.9114297231250517,male,BE,no prior,no family,GE,False,1,$f_2$,0.8307041401958083,0.7571284444974997
632,2,1.8167693548642034,female,BE,no prior,no family,WV,False,1,$f_2$,3.300650888773694,5.996521385829344
